species	NCBI.txid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding
Acanthaster_planci	133434	33214	33214	962	962	954
Acanthisitta_chloris	57068	16077	16089	868	868	756
Acanthocheilonema_viteae	6277	10138	10397	815	815	795
Acanthochromis_polyacanthus	80966	36596	36621	920	920	904
Acanthopagrus_latus	8177	54558	54718	928	928	925
Acanthoscelides_obtectus	200917	60987	61041	826	826	826
Accipiter_gentilis	8957	44814	44840	957	957	947
Acinonyx_jubatus	32536	56261	56361	953	953	951
Acipenser_ruthenus	7906	66973	67090	276	276	266
Acomys_russatus	60746	33440	33557	902	902	899
Acromyrmex_charruanus	2715315	8986	14640	944	944	944
Acromyrmex_echinatior	103372	20241	20241	964	964	947
Acromyrmex_heyeri	230685	9118	16064	934	934	928
Acromyrmex_insinuator	230686	8975	14546	946	946	945
Acropora_digitifera	70779	33878	33878	825	825	792
Acropora_millepora	45264	41860	41860	867	867	851
Actinia_tenebrosa	6105	27037	27037	951	951	688
Acyrthosiphon_pisum	7029	27984	27984	874	874	815
Adelges_cooleyi	133065	24967	24967	912	912	909
Adineta_ricciae	249248	49015	49284	487	487	486
Adineta_steineri	433720	50321	50525	543	543	538
Adineta_vaga	104782	32378	32378	688	688	688
Aedes_aegypti	7159	28317	28317	909	909	905
Aedes_albopictus	7160	40086	40086	450	450	413
Aegithalos_caudatus	73327	13259	15004	803	803	803
Aegotheles_bennettii	48278	13701	15054	809	809	808
Aethina_tumida	116153	21401	21401	934	934	934
Agelaius_phoeniceus	39638	27550	27581	944	944	920
Agrilus_planipennis	224129	22159	22159	865	865	861
Ailuropoda_melanoleuca	9646	53684	53813	929	929	913
Aix_galericulata	8832	13219	16600	827	827	819
Alaudala_cheleensis	670337	14297	16068	837	837	837
Albula_glossodonta	121402	28305	28305	735	735	733
Albula_goreensis	1534307	23626	23626	822	822	822
Aleadryas_rufinucha	461220	13899	15340	824	824	822
Alectura_lathami	81907	13399	15139	798	798	798
Alligator_mississippiensis	8496	42388	42494	968	968	958
Alligator_sinensis	38654	43105	43286	950	950	920
Alopecoenas_beccarii	262131	14599	16030	862	862	860
Alosa_alosa	278164	43714	43775	879	879	847
Alosa_sapidissima	34773	56007	56159	905	905	903
Amazona_guildingii	175529	14211	15795	860	860	856
Amblyraja_radiata	386614	38895	38932	913	913	904
Ameiurus_melas	219545	24354	24354	913	913	913
Amphibalanus_amphitrite	1232801	59724	59724	325	325	321
Amphimedon_queenslandica	400682	23542	23542	868	868	863
Amphiprion_ocellaris	80972	47242	47359	918	918	916
Ampulex_compressa	860918	21627	21627	961	961	959
Amyelois_transitella	680683	18472	18472	936	936	890
Anabarilius_grahami	495550	23906	23906	669	669	669
Anabas_testudineus	64144	40360	40551	917	917	914
Anarrhichthys_ocellatus	433405	41887	41903	909	909	899
Anas_platyrhynchos	8839	45225	45273	886	886	860
Anastrepha_ludens	28586	25247	25247	963	963	962
Anastrepha_obliqua	95512	22869	22869	956	956	955
Ancylostoma_caninum	29170	30198	30198	765	765	764
Ancylostoma_ceylanicum	53326	15892	15892	763	763	763
Ancylostoma_duodenale	51022	27483	27483	747	747	732
Angiostrongylus_cantonensis	6313	10314	10314	661	661	645
Angiostrongylus_costaricensis	334426	13364	13417	840	840	802
Anguilla_anguilla	7936	58091	58286	839	839	835
Anhinga_anhinga	56067	13590	15174	800	800	800
Anhinga_rufa	317792	10486	11641	686	686	685
Anisakis_simplex	6269	20971	20971	792	792	671
Anneissia_japonica	1529436	32774	32774	945	945	880
Anolis_carolinensis	28377	34826	34878	908	908	753
Anopheles_albimanus	7167	23947	23947	958	958	947
Anopheles_aquasalis	42839	20271	20271	958	958	958
Anopheles_arabiensis	7173	25532	25532	954	954	945
Anopheles_coluzzii	1518534	24012	24012	960	960	960
Anopheles_cruzii	68878	14301	14301	935	935	934
Anopheles_darlingi	43151	20247	20247	954	954	953
Anopheles_funestus	62324	25342	25342	955	955	955
Anopheles_gambiae	7165	14102	14102	946	946	934
Anopheles_maculipalpis	1496333	14422	14422	958	958	956
Anopheles_marshallii	1521116	12038	12038	953	953	946
Anopheles_merus	30066	28438	28438	889	889	889
Anopheles_moucheti	186751	15528	15528	952	952	950
Anopheles_nili	185578	11869	11869	952	952	949
Anopheles_sinensis	74873	19352	19352	876	876	876
Anopheles_stephensi	30069	29660	29660	912	912	912
